id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
[1],二十一世纪花园四期,青羊,235,16202,4室2厅1厨3卫,高楼层 (共6层),145.05㎡,错层,暂无数据,板塔结合,南,砖混结构,精装,一梯两户,无,70年,2019-03-20,商品房,2003-01-13,普通住宅,满五年,共有,有抵押 10万元 建设银行 业主自还,已上传房本照片
[1],美丽朋城,青羊,71,11458,1室1厅1厨1卫,中楼层 (共12层),61.97㎡,平层,44.36㎡,板塔结合,西,钢混结构,简装,两梯九户,有,70年,2019-08-12,商品房,2011-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],华明居,青羊,200,17351,3室2厅1厨2卫,高楼层 (共9层),115.27㎡,跃层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,70年,2019-12-29,商品房,2010-01-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],金沙揽胜二期,青羊,158,17440,2室1厅1厨1卫,中楼层 (共29层),90.6㎡,平层,72.06㎡,塔楼,南,钢混结构,精装,四梯十四户,有,70年,2019-09-04,商品房,2009-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],双玺,青羊,75,18501,1室0厅1厨1卫,中楼层 (共18层),40.54㎡,平层,31.49㎡,板塔结合,北,钢混结构,简装,三梯十一户,有,70年,2019-12-23,商品房,2017-02-21,普通住宅,满两年,非共有,有抵押 28万元 中国银行 业主自还,已上传房本照片
[1],保利贝森公馆,青羊,448,31523,3室2厅1厨2卫,高楼层 (共29层),142.12㎡,平层,110.9㎡,板楼,南,框架结构,毛坯,两梯三户,有,70年,2019-11-25,商品房,2015-12-01,普通住宅,满两年,非共有,有抵押 50万元 自己还 业主自还,已上传房本照片
[1],香格里拉花园,青羊,243,20135,3室2厅1厨2卫,中楼层 (共12层),120.69㎡,平层,107.17㎡,板楼,南,钢混结构,精装,一梯四户,有,70年,2020-01-13,商品房,2017-01-11,普通住宅,满两年,非共有,有抵押 / 业主自还,已上传房本照片
[1],美丽朋城,青羊,80,13090,1室1厅1厨1卫,中楼层 (共12层),61.12㎡,平层,43.75㎡,板塔结合,东,钢混结构,精装,两梯九户,有,70年,2020-01-04,商品房,2013-03-08,普通住宅,满五年,非共有,有抵押 30万元 农商银行 业主自还,已上传房本照片
[1],金沙揽胜一期,青羊,159,16409,2室1厅1厨1卫,中楼层 (共7层),96.9㎡,平层,88.58㎡,塔楼,南,钢混结构,精装,一梯三户,无,70年,2019-11-03,商品房,2005-05-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],乐摩筑,青羊,84,16575,1室1厅1厨1卫,中楼层 (共26层),50.68㎡,平层,39.26㎡,塔楼,东,钢混结构,精装,四梯二十一户,有,70年,2019-08-21,商品房,2013-04-03,普通住宅,满五年,共有,有抵押 40万元 农业银行 金融公司垫资,已上传房本照片
[1],天合凯旋城,青羊,345,23555,3室2厅1厨2卫,低楼层 (共31层),146.47㎡,平层,122.52㎡,板塔结合,东北,框架结构,简装,两梯四户,有,70年,2019-06-03,商品房,2015-02-03,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],双玺,青羊,180,20666,3室1厅1厨1卫,中楼层 (共18层),87.1㎡,平层,70.81㎡,板塔结合,南,钢混结构,毛坯,两梯五户,有,70年,2019-03-15,商品房,2013-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],二十一世纪花园三期,青羊,225,16209,3室2厅1厨2卫,中楼层 (共7层),138.82㎡,错层,138.82㎡,板楼,西,砖混结构,精装,一梯两户,无,70年,2019-06-07,商品房,2015-03-27,普通住宅,满两年,非共有,有抵押 60万元 建设银行 业主自还,已上传房本照片
[1],青森小区,青羊,58,13483,1室1厅1厨1卫,中楼层 (共7层),43.02㎡,平层,43.02㎡,板楼,南,砖混结构,简装,一梯五户,无,70年,2019-12-03,商品房,2015-09-24,普通住宅,满两年,共有,无抵押,已上传房本照片
[1],二十一世纪花园一期,青羊,125,14203,2室2厅1厨1卫,高楼层 (共7层),88.01㎡,平层,88.01㎡,板楼,南,砖混结构,简装,一梯两户,无,70年,2019-12-28,商品房,2010-10-21,普通住宅,满五年,共有,有抵押 30万元 顺位抵押 业主自还,已上传房本照片
[1],二十一世纪花园一期,青羊,176.5,15572,3室2厅1厨2卫,高楼层 (共7层),113.35㎡,平层,113.35㎡,板楼,东南,砖混结构,精装,一梯两户,无,70年,2019-10-18,商品房,2014-04-04,普通住宅,满五年,共有,有抵押 80万元,已上传房本照片
[1],瑞通凯域,青羊,135,15314,2室2厅1厨1卫,中楼层 (共11层),88.16㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,一梯四户,有,70年,2019-07-31,商品房,2016-11-09,普通住宅,满两年,非共有,有抵押 80万元 哈尔滨银行 金融公司垫资,已上传房本照片
[1],贝森宜苑,青羊,112,14297,2室2厅1厨1卫,高楼层 (共8层),78.34㎡,平层,78.34㎡,板楼,南,砖混结构,简装,一梯两户,无,70年,2019-12-30,商品房,2012-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],香格里拉花园,青羊,220,20371,3室1厅1厨2卫,低楼层 (共11层),108㎡,平层,暂无数据,板楼,西,钢混结构,其他,一梯四户,有,70年,2020-02-14,商品房,2004-02-14,普通住宅,满五年,暂无数据,暂无数据,未上传房本照片
[1],贝森兴苑,青羊,118,14435,3室1厅1厨1卫,中楼层 (共7层),81.75㎡,平层,暂无数据,板楼,西,砖混结构,简装,一梯两户,无,70年,2018-08-03,商品房,2006-02-09,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],华明居,青羊,130,15891,2室1厅1厨1卫,高楼层 (共9层),81.81㎡,平层,74.26㎡,板楼,南,钢混结构,精装,一梯四户,有,70年,2019-07-21,商品房,2013-10-01,普通住宅,满五年,共有,无抵押,已上传房本照片
[1],双玺,青羊,96,19918,2室1厅1厨1卫,中楼层 (共18层),48.2㎡,平层,暂无数据,板塔结合,北,钢混结构,简装,三梯十一户,有,70年,2019-10-30,商品房,2012-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],青森小区,青羊,74,12092,2室1厅1厨1卫,高楼层 (共7层),61.2㎡,平层,61.2㎡,板楼,北,砖混结构,简装,一梯四户,无,70年,2019-10-26,商品房,2006-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],香格里拉花园,青羊,152,21085,2室1厅1厨1卫,低楼层 (共11层),72.09㎡,平层,63.37㎡,板楼,东,钢混结构,简装,一梯四户,有,70年,2019-10-13,商品房,2005-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],百家苑(青羊),青羊,108,14092,1室1厅1厨1卫,高楼层 (共7层),76.64㎡,平层,68.94㎡,板楼,北,砖混结构,简装,一梯三户,无,70年,2019-12-23,商品房,2009-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],城市物语,青羊,95,20304,2室2厅1厨1卫,高楼层 (共10层),46.79㎡,平层,暂无数据,塔楼,南,钢混结构,简装,四梯四十户,有,70年,2018-12-31,商品房,2004-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片
